Title,Singer,Year
"日出時讓戀愛終結","張學友",1993
"點解要大家笠","軟硬天師",1993
"執迷不悔","王菲",1993
"動地驚天愛戀過","鄭伊健",1993
"其實我愛你嗎","鄺美雲",1993
"那有一天不想你","黎明",1994
"誰人知","劉德華",1994
"怎麼天生不是女人","草蜢",1994
"鐵幕誘惑","郭富城",1994
"繾綣星光下","關淑怡",1994
"女人的弱點","葉蒨文",1994
"心酸的情歌","巫啟賢",1994
"昨遲人","許志安",1994
"餓狼傳說","張學友",1994
"來來回回","張學友",1994
"我等到花兒也謝了","張學友",1994
"夢中人","王菲",1994
"知己知彼","王菲",1994
"終有一天感動你","李樂詩",1994
"痛哭","郭富城",1994
"決心","林憶蓮",1994
"讓我跟你走","彭羚",1994
"未完的小說","彭羚",1994
"今天的愛人是誰","陳慧嫻",1994
"忘情水","劉德華",1994
"非一般煩惱","鄭秀文",1994
"昨天今天下雨天","彭羚",1994
"藍天與白雲","古巨基",1994
"一生愛你一個","鄭伊健",1994
"火舞艷陽","黎明",1994
"離開以後","張學友",1995
"春光乍洩","黃耀明",1995
"捨不得你","鄭秀文",1995
"濃情化不開","周華健",1995
"我寂寞","陳慧嫻",1995
"你沒有好結果","李蕙敏",1995
"秘密","李蕙敏",1995
"純真傳說","郭富城",1995
"其實我...我...我","古巨基",1995
"這麼近(那麼遠)","張學友",1995
"一生最愛就是你","黎明",1995
"危險情人","黎明",1995
"吻這半分鐘","鄭伊健",1995
"一個為你甘去蹈火海的人","鄭伊健",1995
"偷偷摸摸","李克勤",1995
"完全因你","彭羚",1995
"如夢初醒","彭羚",1995
"小玩意","彭羚",1995
"一切很美只因有你","陳慧琳",1995
"男唱女唱","黃耀明",1995
"傷信","陳奕迅",1995
"時代曲","陳奕迅",1995
"每隔兩秒","趙學而",1995
"失憶諒解備忘錄","郭富城",1995
"曖昧","王菲",1995
"妳的名字我的姓氏","張學友",1996
"你的男人","許志安",1996
"情深說話未曾講","黎明",1996
"發現","鄭伊健",1996
"仿如隔世","彭羚",1996
"每日一事先","趙學而",1996
"默契","鄭秀文",1996
"奇妙旅程","陳慧嫻",1996
"呼吸","梁漢文",1996
"友情歲月","鄭伊健",1996
"暗裡著迷","劉德華",1996
"絕對在乎你","劉德華",1996
"最激帝國","郭富城",1996
"聽風的歌","郭富城",1996
"風花雪","陳慧琳",1996
"誰願放手","陳慧琳",1996
"暗湧","王菲",1996
"放不低","鄭秀文",1996
"不拖不欠","鄭秀文",1996
"結他","陳曉東",1996
"了解你的所有","陳曉東",1996
"男人最痛","許志安",1996
"有心人","張國榮",1996
"每日一禁果","達明一派",1996
"狼來了","楊千嬅",1996
"只要為我愛一天","黎明",1997
"愛是永恆","張學友",1997
"我們的主題曲","鄭秀文",1997
"歡樂今宵","古巨基",1997
"明明深愛著你","李克勤",1997
"星夢情真","陳慧琳",1997
"親密關係","鄭秀文",1997
"不老的傳說","張學友",1997
"愛的呼喚","郭富城",1997
"有效日期","郭富城",1997
"時代的遊客","陳奕迅",1997
"與我常在","陳奕迅",1997
"傾城","許美靜",1997
"明知故犯","許美靜",1997
"抱緊眼前人","梅艷芳",1997
"約定","王菲",1997
"再見二丁目","楊千嬅",1997
"友共情","古巨基",1997
"愛您","許志安",1997
"人若然忘記了愛","鄭中基",1997
"搬屋","鄭中基",1997
"讓我先死","楊千嬅",1997
"星秀傳說","鄭秀文",1997
"無聲仿有聲","謝霆鋒",1997
"情來自有方","蘇永康",1997
"越吻越傷心","蘇永康",1998
"情誡","王菲",1998
"我這樣愛你","黎明",1998
"天下無雙","陳奕迅",1998
"唱這歌","郭富城",1998
"二人行一日後","許志安",1998
"理想對象","鄭秀文",1998
"頭髮亂了","張學友",1998
"不想這是場戲","張學友",1998
"愛你","許志安",1998
"哭泣遊戲","鄭秀文",1998
"祝你快樂","鄭秀文",1998
"掛念","劉德華",1998
"一變傾城","郭富城",1998
"死去活來","楊千嬅",1998
"愛人","楊千嬅",1998
"有過去的女人","楊千嬅",1998
"嚴重","陳慧琳",1998
"風裡密碼","郭富城",1998
"這些年來","張國榮",1998
"化妝","李克勤",1998
"不想獨自快樂","蘇永康",1998
"垃圾","盧巧音",1998
"早知","謝霆鋒",1998
"左右手","張國榮",1999
"插曲","鄭秀文",1999
"教我如何不愛他","許志安、葉德嫻",1999
"羅馬假期","古巨基",1999
"抬起我的頭來","楊千嬅",1999
"迫不得已","梁詠琪",1999
"眼睛想旅行","黎明",1999
"幸福摩天輪","陳奕迅",1999
"每一個明天","陳奕迅",1999
"未知","容祖兒",1999
"逃避你","容祖兒",1999
"對你太在乎","陳慧琳",1999
"都是你的錯","陳慧琳",1999
"郵差","王菲",1999
"償還","王菲",1999
"任何天氣","張柏芝",1999
"目的地","張柏芝",1999
"天煞孤星","鄭伊健",1999
"雙面人","鄭伊健",1999
"心只有你","劉德華",1999
"痛","劉德華",1999
"幻聽","張國榮",1999
"發熱發亮","鄭秀文",1999
