Title,Singer,Year
"零分","JUDE",2020
"地球上的人","馮允謙",2020
"我該向下邁步","連詩雅",2020
"別為我好","許靖韻",2020
"IGNITED","MIRROR",2020
"感情這回事","陳柏宇",2020
"劫後餘生","周柏豪",2020
"我們很帥","ERROR",2020
"南昌街王子","薛凱琪",2020
"See You Next Time","AGA",2020
"萬惡不赦","梁釗峰",2020
"網絡安全隱患","Serrini",2020
"小夜燈","鄭欣宜",2020
"乾爹","關智斌",2020
"原始心態","吳業坤",2020
"帶走你的垃圾","衛蘭",2020
"俏郎君","張敬軒",2021
"E先生 連環不幸事件","呂爵安",2021
"我不如","曾比特",2021
"記憶棉","MC 張天賦",2021
"神奇的糊塗魔藥","林家謙",2021
"狂人日記","柳應廷",2021
"Megahit","盧瀚霆",2021
"先哭為敬","鄭欣宜",2021
"留下來的人","C AllStar",2021
"It's OK To Be Sad","衛蘭",2021
"不如恨我","吳浩康",2021
"荊棘海","泳兒",2021
"砂之器","柳應廷",2021
"BOSS","MIRROR",2021
"係咁先啦","MC $oHo & KidNey ft. Kayan9896",2021
"真話的清高","炎明熹",2021
"集合吧！地球保衛隊","C AllStar",2021
"關於愛的碎念","林奕匡",2021
"煙花紀","容祖兒",2021
"一表人才","呂爵安、邱鋒澤",2021
"10000 Days","JACE陳凱詠",2021
"不可愛教主","盧瀚霆",2021
"突如其來的心跳感覺","呂爵安、盧瀚霆",2021
"人類群星閃耀時","柳應廷",2021
"相信一切是最好的安排","陳蕾",2021
"老派約會之必要","MC 張天賦",2022
"某種老朋友","林家謙",2022
"我也難過的","吳林峰、謝芊彤",2022
"賽勒斯的愛","張敬軒",2022
"人啊人","陳奕迅",2022
"到底發生過什麼事","Dear Jane",2022
"下流社會","陳蕾",2022
"留一天與你喘息","陳卓賢",2022
"小心地滑","MC 張天賦",2022
"豐乳肥臀","鄭欣宜",2022
"憶年","謝安琪",2022
"飛鳥俠","布志綸",2022
"只要你不尷尬","洪嘉豪",2022
"污糟佬","洪嘉豪",2022
"報復式浪漫","馮允謙",2022
"明天見","容祖兒",2022
"好想約你","炎明熹",2022
"We All Are","MIRROR",2022
"呼吸之間","衛蘭",2022
"葉落冰川","泳兒",2022
"創作者的派對","陳健安",2022
"難道我還未夠難","葉巧琳",2022
"掉進海的眼淚","洪嘉豪",2022
"樹木真美","Serrini",2022
"距離","陳卓賢",2022
"隱形遊樂場","張敬軒",2023
"盲婚啞嫁","陳奕迅",2023
"世一","MC 張天賦",2023
"微時","許廷鏗",2023
"伸縮自如的愛","陳蕾",2023
"萬一你是個好人","林家謙",2023
"企好","Gin Lee",2023
"Dum Dum","Gin Lee",2023
"收到收到","馮允謙",2023
"仍然是那個少年","陳健安",2023
"Little Magic","炎明熹",2023
"不如散步","RubberBand",2023
"塵大師","陳奕迅",2023
"人散曲未終","姚焯菲",2023
"Dear Myself","尹光",2023
"再見寧靜海","陳卓賢",2023
"國際孤獨等級","Gareth.T",2023
"台前幕後","林奕匡",2023
"第二代","吳業坤",2023
"枱底隧道","Nancy Kwai",2023
"同歸於盡","泳兒",2023
"給你幸福 所以幸福","黎明",2023
"一把火","Lolly Talk",2023
"遺忘了初心的我們","魏浚笙",2023
"第一管弦樂團","魏浚笙",2023
"會再見的","馮允謙",2024
"間歇性休眠","JACE陳凱詠",2024
"9秒9","容祖兒",2024
"回憶半分鐘","雲浩影",2024
"至少做一件離譜的事","Kiri T",2024
"藝術與科學","林奕匡、葉巧琳、黃妍",2024
"黑玻璃","洪嘉豪",2024
"緊急聯絡人","Gareth.T",2024
"戀愛腦之死","陳健安",2024
"一對受害人","曾比特",2024
"最難行的路","鄭欣宜",2024
"約定的夢幻島","吳林峰",2024
"念","陳蕾",2024
"三生有幸","周殷廷",2024
"趁你旅行時搬走","moon tang",2024
"如果我不曾走向你","吳若希",2024
"九千九百九十九個我","Lolly Talk",2024
"神愛世人","甄濟如",2024
"魔氈","曾比特",2024
"青春告別式","張敬軒",2024
"青春只剩一滴眼淚","陳健安",2024
"網戀神仙","陳柏宇",2024
"撞板","泳兒",2024
"Lost at first sight","陳卓賢",2024
"衰仔樂園","洪嘉豪",2024
"用背脊唱情歌","Gareth.T",2025
"50/50","謝安琪",2025
"白色踢死兔","魏浚笙",2025
"無糖可樂","泳兒",2025
"逆旅","The Hertz",2025
"我所看見的未來","陳柏宇",2025
"你流淚所以我流淚","Dear Jane",2025
"吉卜力","馮允謙",2025
"白夜行","Gin Lee",2025
"懷疑人生","MC 張天賦",2025
"不遲不早","陳健安",2025
"痛痛快快活活去","Pandora",2025
"我看見今晚的月色很美，你呢？","晚安莉莉",2025
"玩偶奇遇記","陳卓賢",2025
"說謊者","MC 張天賦",2025
"孤獨美食家","魏浚笙",2025
"SSS","COLLAR",2025
"沒終點的青春","柳應廷",2025
"全世界停電第二年","Gordon Flanders",2025
"二十還好","KOLOR",2025
"無名指","陳卓賢",2025
"旁若無人","陳柏宇",2025
"練習Baby Steps","雷同二友",2025
"Let go","Nancy Kwai",2025
"By My Side","張敬軒、Tyson Yoshi",2025
