Title,Singer,Year,Lyricist,Lyrics,Status
當年情,張國榮,1986,黃霑,"輕輕笑聲 在爲我送溫暖
hing1/heng1 hing1/heng1 siu3 sing1/seng1 zoi6 wai46 ngo5 sung3 wan1 nyun5
你爲我注入快樂強電
nei5 wai46 ngo5 zyu3 jap6 faai3 lok6/ngok6 koeng4/koeng5/goeng6 din6
輕輕說聲 漫長路快要走過
hing1/heng1 hing1/heng1 syut3 sing1/seng1 maan6 coeng4/zoeng2 lou6 faai3 jiu3 zau2 gwo3
終於走到明媚晴天
zung1 jyu1 zau2 dou3 ming4 mei6 cing4 tin1

聲聲歡呼躍起 像紅日發放金箭
sing1/seng1 sing1/seng1 fun1 fu1 joek6 hei2 zoeng6 hung4 jat6 faat3 fong3 gam1 zin3
我伴你往日笑面重現
ngo5 bun6 nei5 wong5 jat6 siu3 min6 cung45/zung6 jin6
輕輕叫聲 共擡望眼看高空
hing1/heng1 hing1/heng1 giu3 sing1/seng1 gung6 toi4 mong6 ngaan5 hon3 gou1 hung1
終於青天優美爲你獻
zung1 jyu1 cing1/ceng1 tin1 jau1 mei5 wai46 nei5 hin3

擁着你 當初溫馨再涌現
jung2 zoek6/ nei5 dong13 co1 wan1 hing1 zoi3 jung2 jin6
心裏邊 童年稚氣夢未污染
sam1 leoi5 bin1 tung4 nin4 zi6 hei3 mung6 mei6 wu1 jim5
今日我 與你又試肩並肩
gam1 jat6 ngo5 jyu5 nei5 jau6 si3 gin1 bing6 gin1
當年情 此刻是添上新鮮
dong13 nin4 cing4 ci2 hak1 si6 tim1 soeng56 san1 sin1/sin2

歡呼躍起 像紅日發放金箭
fun1 fu1 joek6 hei2 zoeng6 hung4 jat6 faat3 fong3 gam1 zin3
我伴你往日笑面重現
ngo5 bun6 nei5 wong5 jat6 siu3 min6 cung45/zung6 jin6
輕輕叫聲 共擡望眼看高空
hing1/heng1 hing1/heng1 giu3 sing1/seng1 gung6 toi4 mong6 ngaan5 hon3 gou1 hung1
終於青天優美爲你獻
zung1 jyu1 cing1/ceng1 tin1 jau1 mei5 wai46 nei5 hin3

擁着你 當初溫馨再涌現
jung2 zoek6/ nei5 dong13 co1 wan1 hing1 zoi3 jung2 jin6
心裏邊 童年稚氣夢未污染
sam1 leoi5 bin1 tung4 nin4 zi6 hei3 mung6 mei6 wu1 jim5
今日我 與你又試肩並肩
gam1 jat6 ngo5 jyu5 nei5 jau6 si3 gin1 bing6 gin1
當年情 此刻是添上新鮮
dong13 nin4 cing4 ci2 hak1 si6 tim1 soeng56 san1 sin1/sin2

一望你 眼裏溫馨已通電
jat1 mong6 nei5 ngaan5 leoi5 wan1 hing1 ji5 tung1 din6
心裏邊 從前夢一點未改變
sam1 leoi5 bin1 cung4 cin4 mung6 jat1 dim2 mei6 goi2 bin3
今日我 與你又試肩並肩
gam1 jat6 ngo5 jyu5 nei5 jau6 si3 gin1 bing6 gin1
當年情 再度添上新鮮
dong13 nin4 cing4 zoi3 dou6 tim1 soeng56 san1 sin1/sin2",matched
有誰共鳴,張國榮,1986,小美,"擡頭望星空一片靜 我獨行 夜雨漸停
toi4 tau4 mong6 sing1 hung1 jat1 pin2/pin3 zing6 ngo5 duk6 hang4/hang6/hong4 je6 jyu5 zim6 ting4
無言是此刻的冷靜 笑問誰 肝膽照應
mou4 jin4 si6 ci2 hak1 dik1 laang5 zing6 siu3 man6 seoi4 gon1 daam2 ziu3 jing13

風急風也清 告知變幻是無定
fung1 gap1 fung1 jaa5 cing1 gou3 zi1 bin3 waan6 si6 mou4 ding6
未明是我苦笑卻未停
mei6 ming4 si6 ngo5 fu2 siu3 koek3 mei6 ting4
不信命 只信雙手去苦拼
bat1 seon3 ming6/meng6 zi2 seon3 soeng1 sau2 heoi3 fu2 ping1
矛盾是無力去暫停
maau4 teon5 si6 mou4 lik6 heoi3 zaam6 ting4
可會知 我心裏睏倦滿腔
ho2 wui zi1 ngo5 sam1 leoi5 kwan3 gyun6 mun5 hong1
夜闌靜 問有誰共鳴
je6 laan4 zing6 man6 jau5 seoi4 gung6 ming4

從前是天真不冷靜 愛自由 或會忘形
cung4 cin4 si6 tin1 zan1 bat1 laang5 zing6 oi3 zi6 jau4 waak6 wui mong4 jing4
明白是得失總有定 去或留輕鬆對應
ming4 baak6 si6 dak1 sat1 zung2 jau5 ding6 heoi3 waak6 lau4 hing1/heng1 sung1 deoi3 jing13

孤單中顫抖 可知我實在難受
gu1 daan1 zung1 zin3 dau2 ho2 zi1 ngo5 sat6 zoi6 naan4/naan6 sau6
問誰願意失去了自由 想退後
man6 seoi4 jyun6 ji3 sat1 heoi3 liu5 zi6 jau4 soeng2 teoi3 hau6
心裏知足我擁有 前去亦全力去尋求
sam1 leoi5 zi1 zuk1 ngo5 jung2 jau5 cin4 heoi3 jik6 cyun4 lik6 heoi3 cam4 kau4

風也清 晚空中我問句星
fung1 jaa5 cing1 maan5 hung1 zung1 ngo5 man6 geoi3 sing1
夜闌靜 問有誰共鳴
je6 laan4 zing6 man6 jau5 seoi4 gung6 ming4",matched
朋友,譚詠麟,1986,,"繁星流動和你同路
faan4 sing1 lau4 dung6 wo4 nei5 tung4 lou6
從不相識開始心接近
cung4 bat1 soeng13 sik1 hoi1 ci2 sam1 zip3 gan6/kan5
默默以真摯待人 人生如夢朋友如霧
mak6 mak6 ji5 zan1 zi3 doi6 jan4 jan4 sang1/saang1 jyu4 mung6 pang4 jau5 jyu4 mou6
難得知心幾經風暴
naan4/naan6 dak1 zi1 sam1 gei2 ging1 fung1 bou6
爲着我不退半步
wai46 zoek6/ ngo5 bat1 teoi3 bun3 bou6
正是你
zing3 si6 nei5
遙遙晚空點點星光息息相關
jiu4 jiu4 maan5 hung1 dim2 dim2 sing1 gwong1 sik1 sik1 soeng13 gwaan1
你我那怕荊棘鋪滿路
nei5 ngo5 naa5 paa3 ging1 gik1 pou1/pou3 mun5 lou6
替我解開心中的孤單
tai3 ngo5 gaai2 hoi1 sam1 zung1 dik1 gu1 daan1
是誰明白我
si6 seoi4 ming4 baak6 ngo5
情同兩手一起開心一起悲傷
cing4 tung4 loeng5 sau2 jat1 hei2 hoi1 sam1 jat1 hei2 bei1 soeng1
彼此分擔總不分我或你
bei2 ci2 fan1/fan6 daam1 zung2 bat1 fan1/fan6 ngo5 waak6 nei5
你爲了我 我爲了你
nei5 wai46 liu5 ngo5 ngo5 wai46 liu5 nei5
共赴患難絕望裏緊握你手
gung6 fu6 waan6 naan4/naan6 zyut6 mong6 leoi5 gan2 ak1/aak1 nei5 sau2
朋友
pang4 jau5",matched
無言感激,譚詠麟,1986,小美,"每次遇上夜靜沒法去入睡
mui5 ci3 jyu6 soeng56 je6 zing6 mut6 faat3 heoi3 jap6 seoi6
最愛看舊照舊物或會悄落淚
zeoi3 oi3 hon3 gau6 ziu3 gau6 mat6 waak6 wui ciu2/ciu1 lok6 leoi6
彷彿像從前的歡笑
fong2 fat1 zoeng6 cung4 cin4 dik1 fun1 siu3
過去落寞的眼淚 再緬懷內裏血汗水
gwo3 heoi3 lok6 mok6 dik1 ngaan5 leoi6 zoi3 min5 waai4 noi6 leoi5 hyut3 hon6 seoi2

偶爾倦透倦極或會說負累
ngau5 ji5 gyun6 tau3 gyun6 gik6 waak6 wui syut3 fu6 leoi5/leoi6
每每唸到是熱愛卻伴聚
mui5 mui5 nim6 dou3 si6 jit6 oi3 koek3 bun6 zeoi6
歡呼聲時常衝擊我 教我踏步不畏懼
fun1 fu1 sing1/seng1 si4 soeng4 cung1 gik1 ngo5 gaau3 ngo5 daap6 bou6 bat1 wai3 geoi6
縱有困難亦要拼命追
zung3/zung1 jau5 kwan3 naan4/naan6 jik6 jiu3 pun3 ming6/meng6 zeoi1

歲月無聲消逝 歡呼中不會醉
seoi3 jyut6 mou4 sing1/seng1 siu1 sai6 fun1 fu1 zung1 bat1 wui zeoi3
得到了我會繼續進取
dak1 dou3 liu5 ngo5 wui gai3 zuk6 zeon3 ceoi2
信念藏於心內 感激暖暖熱愛
seon3 nim6 cong4 jyu1 sam1 noi6 gam2 gik1 nyun5 nyun5 jit6 oi3
即使我有淚笑着強忍
zik1 si2 ngo5 jau5 leoi6 siu3 zoek6/ koeng4/koeng5/goeng6 jan2

愛上了夜裏靜悄像透似熟睡
oi3 soeng56 liu5 je6 leoi5 zing6 ciu2/ciu1 zoeng6 tau3 ci5 suk6 seoi6
最愛笑但最是害怕假面具
zeoi3 oi3 siu3 daan6 zeoi3 si6 hoi6 paa3 gaa2/gaa3 min6 geoi6
心坎中無形的鬱結
sam1 ham2 zung1 mou4 jing4 dik1 wat1 git3
也有熱淚想下垂 卻倒流換上血汗水
jaa5 jau5 jit6 leoi6 soeng2 haa6 seoi4 koek3 dou2/dou3 lau4 wun6 soeng56 hyut3 hon6 seoi2

歲月無聲消逝 講一聲真愛你
seoi3 jyut6 mou4 sing1/seng1 siu1 sai6 gong2 jat1 sing1/seng1 zan1 oi3 nei5
歌聲裏竭力獻盡每分
go1 sing1/seng1 leoi5 kit3 lik6 hin3 zeon6 mui5 fan1/fan6
信念藏於心內 感激千千百句
seon3 nim6 cong4 jyu1 sam1 noi6 gam2 gik1 cin1 cin1 baak3 geoi3
即使我有淚笑着強忍
zik1 si2 ngo5 jau5 leoi6 siu3 zoek6/ koeng4/koeng5/goeng6 jan2",matched
幾許風雨,羅文,1986,林夕,"無言輕倚窗邊 凝望雨勢急也亂
mou4 jin4 hing1/heng1 ji2 coeng1 bin1 jing4 mong6 jyu5 sai3 gap1 jaa5 lyun6
似個瘋漢 滿肚鬱結 怒罵着厭倦
ci5 go3 fung1 hon3 mun5 tou5 wat1 git3 nou6 maa6 zoek6/ jim3 gyun6

徐徐呼出菸圈 回望以往的片段
ceoi4 ceoi4 fu1 ceot1 jin1 hyun1 wui4 mong6 ji5 wong5 dik1 pin2/pin3 dyun6
幾許風雨 我也經過 屹立到目前
gei2 heoi2 fung1 jyu5 ngo5 jaa5 ging1 gwo3 ngat6 laap6 dou3 muk6 cin4

一生之中誰沒痛苦 得失少不免
jat1 sang1/saang1 zi1 zung1 seoi4 mut6 tung3 fu2 dak1 sat1 siu23 bat1 min5
看透世態每種風雨 披身打我面
hon3 tau3 sai3 taai3 mui5 zung2 fung1 jyu5 pei1 san1 daa2 ngo5 min6
身處高峯 嚐盡雨絲 輕風的加冕
san1 cyu35 gou1 fung1 soeng4 zeon6 jyu5 si1 hing1/heng1 fung1 dik1 gaa1 min5
偶爾碰上了急風 步伐末凌亂
ngau5 ji5 pung3 soeng56 liu5 gap1 fung1 bou6 fat6 mut6 ling4 lyun6
心底之中知分寸 得失差一線
sam1 dai2 zi1 zung1 zi1 fan1/fan6 cyun3 dak1 sat1 caa1/ jat1 sin3
披荊斬棘的挑戰 光輝不眷戀
pei1 ging1 zaam2 gik1 dik1 tiu1/tiu5 zin3 gwong1 fai1 bat1 gyun3 lyun2

悠然想起當天 無盡冷眼加嘴臉
jau4 jin4 soeng2 hei2 dong13 tin1 mou4 zeon6 laang5 ngaan5 gaa1 zeoi2 lim5
正似風雨 每每改變 現實盡體驗
zing3 ci5 fung1 jyu5 mui5 mui5 goi2 bin3 jin6 sat6 zeon6 tai2 jim6
無求一生光輝 唯望抖志不會斷
mou4 kau4 jat1 sang1/saang1 gwong1 fai1 wai4 mong6 dau2 zi3 bat1 wui dyun6/dyun3/tyun5
見慣風雨 見慣改變 盡視作自然
gin3 gwaan3 fung1 jyu5 gin3 gwaan3 goi2 bin3 zeon6 si6 zok3 zi6 jin4

悠然推窗觀天 雲漸散去星再現
jau4 jin4 teoi1 coeng1 gun1 tin1 wan4 zim6 saan2/saan3 heoi3 sing1 zoi3 jin6
雨線飄斷 似我的臉 熱淚聚滿面
jyu5 sin3 piu1 dyun6/dyun3/tyun5 ci5 ngo5 dik1 lim5 jit6 leoi6 zeoi6 mun5 min6
然而不死春天 全賴暖意不間斷
jin4 ji4 bat1 sei2 ceon1 tin1 cyun4 laai6 nyun5 ji3 bat1 gaan13 dyun6/dyun3/tyun5
似你的臉 叫我溫暖 伴着我步前
ci5 nei5 dik1 lim5 giu3 ngo5 wan1 nyun5 bun6 zoek6/ ngo5 bou6 cin4",matched
夢伴,梅艷芳,1986,林敏驄,"煤氣燈不禁影照 街裏一對蚯蚓
mui4 hei3 dang1 bat1 gam1/gam3 jing2 ziu3 gaai1 leoi5 jat1 deoi3 jau1 jan5
照過以倆心相親 一對小情人
ziu3 gwo3 ji5 loeng5 sam1 soeng13 can1 jat1 deoi3 siu2 cing4 jan4
沉默以擁吻抵抗
cam4 mak6 ji5 jung2 man5 dai2 kong3
一切的冰與冷 晚意借北風
jat1 cai3 dik1 bing1 jyu5 laang5 maan5 ji3 ze3 bak1 fung1
輕輕的飄起長長裙 多溫馨(心裏)
hing1/heng1 hing1/heng1 dik1 piu1 hei2 coeng4/zoeng2 coeng4/zoeng2 kwan4 do1 wan1 hing1 (sam1 leoi5)
風中那笑聲(淌淚)
fung1 zung1 naa5 siu3 sing1/seng1 (tong2 leoi6)

嚐盡了失意的我 將一切都褪去
soeng4 zeon6 liu5 sat1 ji3 dik1 ngo5 zoeng1 jat1 cai3 dou1 tan3/teoi3 heoi3
再到這風中心中 竟仿似傷痕累累
zoi3 dou3 ze5 fung1 zung1 sam1 zung1 ging2 fong2 ci5 soeng1 han4 leoi5/leoi6 leoi5/leoi6
然後再憶記起
jin4 hau6 zoi3 jik1 gei3 hei2
當晚跟你在這裏 相依相擁中
dong13 maan5 gan1 nei5 zoi6 ze5 leoi5 soeng13 ji1 soeng13 jung2 zung1
交出的心早已失去(失去)(已破碎)
gaau1 ceot1 dik1 sam1 zou2 ji5 sat1 heoi3 (sat1 heoi3) (ji5 po3 seoi3)
不可以再追 (灑淚)
bat1 ho2 ji5 zoi3 zeoi1 (saa2 leoi6)

今天今天星閃閃
gam1 tin1 gam1 tin1 sing1 sim2 sim2
剩下我北風中 漆黑中帶着淚
sing6 haa6 ngo5 bak1 fung1 zung1 cat1 hak1 zung1 daai3 zoek6/ leoi6
念當天當天 跟他一起的每天
nim6 dong13 tin1 dong13 tin1 gan1 taa1 jat1 hei2 dik1 mui5 tin1
今天今天星閃閃
gam1 tin1 gam1 tin1 sing1 sim2 sim2
剩下我漆黑中 北風中帶淚悼念
sing6 haa6 ngo5 cat1 hak1 zung1 bak1 fung1 zung1 daai3 leoi6 dou6 nim6
當天的心歡欣 再也再也再也不見
dong13 tin1 dik1 sam1 fun1 jan1 zoi3 jaa5 zoi3 jaa5 zoi3 jaa5 bat1 gin3
一切已失去 不可以再追
jat1 cai3 ji5 sat1 heoi3 bat1 ho2 ji5 zoi3 zeoi1

一切已失去 不可以再追
jat1 cai3 ji5 sat1 heoi3 bat1 ho2 ji5 zoi3 zeoi1
一切已失去
jat1 cai3 ji5 sat1 heoi3",matched
將冰山劈開,梅艷芳,1986,,"午夜期待 你未存在
ng5 je6 kei4 doi6 nei5 mei6 cyun4 zoi6
灼熱難耐 又冷漠無奈
zoek3/coek3 jit6 naan4/naan6 noi6 jau6 laang5 mok6 mou4 noi6

冰結在外 火卻在內
bing1 git3 zoi6 ngoi6 fo2 koek3 zoi6 noi6
我難忍耐 再沉苦海
ngo5 naan4/naan6 jan2 noi6 zoi3 cam4 fu2 hoi2

想把冰山變改
soeng2 baa2 bing1 saan1 bin3 goi2
無謂再抑壓心底愛
mou4 wai6 zoi3 jik1 aat3 sam1 dai2 oi3
冰山有災 請把冰山劈開
bing1 saan1 jau5 zoi1 cing2/ceng2 baa2 bing1 saan1 pek3 hoi1
能讓你舒發心底愛
nang4 joeng6 nei5 syu1 faat3 sam1 dai2 oi3
冰山鑽開劈開救災
bing1 saan1 zyun3/zyun1 hoi1 pek3 hoi1 gau3 zoi1
不應將愛心掩蓋
bat1 jing13 zoeng1 oi3 sam1 jim2 goi3/koi3
火速救災 請把冰山劈開
fo2 cuk1 gau3 zoi1 cing2/ceng2 baa2 bing1 saan1 pek3 hoi1
你午夜莫期待
nei5 ng5 je6 mok6 kei4 doi6

我在牆內 你在牆外
ngo5 zoi6 coeng4 noi6 nei5 zoi6 coeng4 ngoi6
心雖剖宰 但信念仍在
sam1 seoi1 pau2 zoi2 daan6 seon3 nim6 jing4 zoi6

我難忍耐 再沉苦海
ngo5 naan4/naan6 jan2 noi6 zoi3 cam4 fu2 hoi2

無謂再抑壓心底愛
mou4 wai6 zoi3 jik1 aat3 sam1 dai2 oi3
無謂再抑壓心底愛
mou4 wai6 zoi3 jik1 aat3 sam1 dai2 oi3
無謂再抑壓心底愛
mou4 wai6 zoi3 jik1 aat3 sam1 dai2 oi3",matched
絕對空虛,蔡楓華,1986,林振強,"Lyricist: 林振強

Composer: 水谷公生





夜店一個角落里 獨坐以黑暗作伴侶

隔數張台那處 是對年青愛侶

夜店此際正在播 舊日你喜歡哼的歌

碎了的心再碎 獨跌坐失意里

閉起眼睛想過去

絕對空虛

無人觸摸似廢堆

絕對空虛

情人這晚你屬誰

仍然是愛你 從沒怪你

愛你是永沒年期

仍是愛你 然而沒有你

世界頓變了乏味

但願我沒往昔 但願我沒記憶

永不想你



夜店一個角落里 獨坐以黑暗作伴侶

隔數張台那處 是對年青愛侶

夜店此際正在播 舊日你喜歡哼的歌

碎了的心再碎 獨跌坐失意里

閉起眼睛想過去

絕對空虛

無人觸摸似廢堆

絕對空虛

情人這晚你屬誰

仍然是愛你 從沒怪你

愛你是永沒年期

仍是愛你 然而沒有你

世界頓變了乏味

但願我沒往昔 但願我沒記憶

永不想你

絕對空虛

無人觸摸似廢堆

絕對空虛

情人這晚你屬誰

仍然是愛你 從沒怪你

愛你是永沒年期

仍是愛你 然而沒有你

世界頓變了乏味

但願我沒往昔 但願我沒記憶

永不想你",google
千個太陽,葉德嫻、陳潔靈,1986,林振強,"My Friend 今天你如何
My Friend gam1 tin1 nei5 jyu4 ho4
難得一起齊高歌這歌
naan4/naan6 dak1 jat1 hei2 cai4 gou1 go1 ze5 go1
從不懂解釋我爲何
cung4 bat1 dung2 gaai2 sik1 ngo5 wai46 ho4
在你友愛內尋到火
zoi6 nei5 jau5 oi3 noi6 cam4 dou3 fo2
年頭匆匆的飄過 甜苦都許多
nin4 tau4 cung1 cung1 dik1 piu1 gwo3 tim4 fu2 dou1 heoi2 do1
風波雖各自去闖 而兩心未分過
fung1 bo1 seoi1 gok3 zi6 heoi3 cong2 ji4 loeng5 sam1 mei6 fan1/fan6 gwo3
甚慶幸又再逢 就算離開過
sam6 hing3 hang6 jau6 zoi3 fung4 zau6 syun3 lei4 hoi1 gwo3
琴聲跟心聲同行
kam4 sing1/seng1 gan1 sam1 sing1/seng1 tung4 hang4/hang6/hong4
彈出一首如火的愛歌
daan2/daan6/taan4 ceot1 jat1 sau2 jyu4 fo2 dik1 oi3 go1
原因心中一個良朋
jyun4 jan1 sam1 zung1 jat1 go3 loeng4 pang4
共我再見面和我歌
gung6 ngo5 zoi3 gin3 min6 wo4 ngo5 go1
年頭匆匆的飄過 甜苦都許多
nin4 tau4 cung1 cung1 dik1 piu1 gwo3 tim4 fu2 dou1 heoi2 do1
風波雖各自去闖
fung1 bo1 seoi1 gok3 zi6 heoi3 cong2
而兩心未分過 伴我行是友誼
ji4 loeng5 sam1 mei6 fan1/fan6 gwo3 bun6 ngo5 hang4/hang6/hong4 si6 jau5 ji4
是太陽千個
si6 taai3 joeng4 cin1 go3
真開心可跟你對望 內心閃出光
zan1 hoi1 sam1 ho2 gan1 nei5 deoi3 mong6 noi6 sam1 sim2 ceot1 gwong1
若然開心哭了 請你原諒
joek6 jin4 hoi1 sam1 huk1 liu5 cing2/ceng2 nei5 jyun4 loeng6
明天不管將會如何
ming4 tin1 bat1 gun2 zoeng1 wui jyu4 ho4
晴天陰天仍高歌這歌
cing4 tin1 jam1 tin1 jing4 gou1 go1 ze5 go1
從不懂解釋我爲何
cung4 bat1 dung2 gaai2 sik1 ngo5 wai46 ho4
在你友愛內尋到火
zoi6 nei5 jau5 oi3 noi6 cam4 dou3 fo2
年頭匆匆的飄過 甜苦都許多
nin4 tau4 cung1 cung1 dik1 piu1 gwo3 tim4 fu2 dou1 heoi2 do1
風波雖各自去闖 而兩心未分過
fung1 bo1 seoi1 gok3 zi6 heoi3 cong2 ji4 loeng5 sam1 mei6 fan1/fan6 gwo3
伴我行是友誼熱我心是你一個
bun6 ngo5 hang4/hang6/hong4 si6 jau5 ji4 jit6 ngo5 sam1 si6 nei5 jat1 go3
無人可吹得熄火太陽千個
mou4 jan4 ho2 ceoi1 dak1 sik1 fo2 taai3 joeng4 cin1 go3

陳潔靈
can4 git3 ling4",matched
傷感的戀人,黃凱芹,1986,,"風中雨點 沾溼了身
fung1 zung1 jyu5 dim2 zim1 sap1 liu5 san1
長夜已降臨 延續了苦困
coeng4/zoeng2 je6 ji5 gong3/hong4 lam4 jin4 zuk6 liu5 fu2 kwan3
不知道原因 只想再等
bat1 zi1 dou6 jyun4 jan1 zi2 soeng2 zoi3 dang2
然後你飄至 仍帶來傷感
jin4 hau6 nei5 piu1 zi3 jing4 daai3 loi4 soeng1 gam2

擠熄了煙 滿腦疑問
zai1 sik1 liu5 jin1 mun5 nou5 ji4 man6
顫抖中親吻 凝望你轉身
zin3 dau2 zung1 can1 man5 jing4 mong6 nei5 zyun2/zyun3 san1
不追究原因 慨嘆緣份
bat1 zeoi1 gau3 jyun4 jan1 koi3 taan3 jyun4 fan6
然後你飄遠 投入誰的心
jin4 hau6 nei5 piu1 jyun5 tau4 jap6 seoi4 dik1 sam1

冷風一般的你 沒法讓我親近
laang5 fung1 jat1 bun1 dik1 nei5 mut6 faat3 joeng6 ngo5 can1 gan6/kan5
熱暖着你的心
jit6 nyun5 zoek6/ nei5 dik1 sam1
那可以封鎖你 願你待我認真
naa5 ho2 ji5 fung1 so2 nei5 jyun6 nei5 doi6 ngo5 jing6 zan1
就算夜裏風吹凜凜
zau6 syun3 je6 leoi5 fung1 ceoi1 lam5 lam5",matched
